MemTotal:       63903732 kB
MemFree:         2465208 kB
MemAvailable:   44682720 kB
Buffers:          776004 kB
Cached:         42052604 kB
SwapCached:      2145572 kB
Active:         28513636 kB
Inactive:       28369224 kB
Active(anon):   12761308 kB
Inactive(anon):  3882864 kB
Active(file):   15752328 kB
Inactive(file): 24486360 kB
Unevictable:      417428 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29570432 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2540 kB
Writeback:             0 kB
AnonPages:      14399352 kB
Mapped:          2841552 kB
Shmem:           2590644 kB
KReclaimable:    2698520 kB
Slab:            3518424 kB
SReclaimable:    2698520 kB
SUnreclaim:       819904 kB
KernelStack:       59548 kB
PageTables:       221532 kB
SecPageTables:      9284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   77705448 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      162764 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1159168 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10100736 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
