MemTotal:       63903732 kB
MemFree:         2282940 kB
MemAvailable:   44509980 kB
Buffers:          803712 kB
Cached:         42100756 kB
SwapCached:      2146412 kB
Active:         28660528 kB
Inactive:       28353628 kB
Active(anon):   12856336 kB
Inactive(anon):  3844016 kB
Active(file):   15804192 kB
Inactive(file): 24509612 kB
Unevictable:      436660 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29594880 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4172 kB
Writeback:             8 kB
AnonPages:      14478604 kB
Mapped:          2818892 kB
Shmem:           2591396 kB
KReclaimable:    2698468 kB
Slab:            3526536 kB
SReclaimable:    2698468 kB
SUnreclaim:       828068 kB
KernelStack:       60412 kB
PageTables:       221968 kB
SecPageTables:      9404 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   80993352 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163348 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1118208 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
