MemTotal:       63903732 kB
MemFree:         3071336 kB
MemAvailable:   45260120 kB
Buffers:          799512 kB
Cached:         42024108 kB
SwapCached:      2151948 kB
Active:         27991132 kB
Inactive:       28305296 kB
Active(anon):   12187044 kB
Inactive(anon):  3833792 kB
Active(file):   15804088 kB
Inactive(file): 24471504 kB
Unevictable:      413260 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573292 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2108 kB
Writeback:             4 kB
AnonPages:      13813492 kB
Mapped:          2816036 kB
Shmem:           2548772 kB
KReclaimable:    2698424 kB
Slab:            3526200 kB
SReclaimable:    2698424 kB
SUnreclaim:       827776 kB
KernelStack:       60332 kB
PageTables:       223508 kB
SecPageTables:      9388 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   80084204 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163228 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1103872 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
