pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 4
number of threads: 4
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 519954
number of failed transactions: 0 (0.000%)
latency average = 0.077 ms
initial connection time = 11.358 ms
tps = 52053.408318 (without initial connection time)
===LOGS===
0 29 85 0 1788867482 299863
0 36 72 0 1788867482 300426
0 45 72 0 1788867482 301131
0 62 56 0 1788867482 302159
0 157 84 0 1788867482 308101
0 176 49 0 1788867482 309388
0 194 49 0 1788867482 310275
0 251 52 0 1788867482 312953
0 265 42 0 1788867482 313591
0 269 49 0 1788867482 313807
0 278 44 0 1788867482 314245
0 296 59 0 1788867482 315225
0 305 53 0 1788867482 315809
0 362 58 0 1788867482 318743
0 364 66 0 1788867482 318879
0 381 56 0 1788867482 319950
0 387 49 0 1788867482 320261
0 390 52 0 1788867482 320416
0 391 56 0 1788867482 320474
0 432 72 0 1788867482 322772
0 458 41 0 1788867482 323998
0 589 53 0 1788867482 330276
0 645 58 0 1788867482 333914
0 663 92 0 1788867482 336079
0 670 48 0 1788867482 336583
0 682 86 0 1788867482 337506
0 702 59 0 1788867482 339191
0 716 57 0 1788867482 340136
0 728 77 0 1788867482 341182
0 731 68 0 1788867482 341423
0 753 73 0 1788867482 343233
0 777 95 0 1788867482 345035
0 795 60 0 1788867482 346802
0 825 68 0 1788867482 348716
0 861 55 0 1788867482 350867
0 881 60 0 1788867482 352156
0 919 47 0 1788867482 354211
0 920 46 0 1788867482 354259
0 937 76 0 1788867482 355307
0 946 50 0 1788867482 355833
0 972 45 0 1788867482 357226
0 978 44 0 1788867482 357502
0 987 56 0 1788867482 357994
0 997 64 0 1788867482 358700
0 1011 62 0 1788867482 359579
0 1024 36 0 1788867482 360231
0 1027 34 0 1788867482 360333
0 1055 37 0 1788867482 361376
0 1094 59 0 1788867482 363685
0 1120 239 0 1788867482 365323
0 1130 47 0 1788867482 365911
0 1140 45 0 1788867482 366376
0 1153 53 0 1788867482 367024
0 1175 49 0 1788867482 368200
0 1186 55 0 1788867482 368794
0 1188 56 0 1788867482 368906
0 1215 46 0 1788867482 370386
0 1218 41 0 1788867482 370532
0 1231 68 0 1788867482 371515
0 1235 90 0 1788867482 371852
0 1252 0 0 1788867482 373331
0 1284 67 0 1788867482 375580
0 1287 85 0 1788867482 375863
0 1293 58 0 1788867482 376224
0 1334 55 0 1788867482 378597
0 1339 72 0 1788867482 378943
0 1346 61 0 1788867482 379350
0 1352 64 0 1788867482 379721
0 1355 58 0 1788867482 379923
0 1367 68 0 1788867482 380662
0 1370 66 0 1788867482 380855
0 1373 52 0 1788867482 381029
0 1378 58 0 1788867482 381301
0 1437 54 0 1788867482 384564
0 1461 56 0 1788867482 386059
0 1486 64 0 1788867482 387451
0 1532 48 0 1788867482 389976
0 1558 81 0 1788867482 391427
0 1573 81 0 1788867482 392479
0 1589 40 0 1788867482 393319
0 1590 43 0 1788867482 393364
0 1597 49 0 1788867482 393703
0 1610 45 0 1788867482 394333
0 1646 68 0 1788867482 396587
0 1648 55 0 1788867482 396732
0 1652 59 0 1788867482 396981
0 1653 49 0 1788867482 397034
0 1657 48 0 1788867482 397218
0 1668 45 0 1788867482 397757
0 1709 49 0 1788867482 400567
0 1758 56 0 1788867482 403105
0 1805 55 0 1788867482 405995
0 1815 64 0 1788867482 406601
0 1818 58 0 1788867482 406799
0 1820 59 0 1788867482 406922
0 1843 55 0 1788867482 408406
0 1965 47 0 1788867482 416482
0 2066 56 0 1788867482 421906
0 2089 54 0 1788867482 423208
0 2107 48 0 1788867482 424276
0 2114 70 0 1788867482 424653
0 2120 51 0 1788867482 424975
0 2126 59 0 1788867482 425313
0 2146 53 0 1788867482 426497
0 2164 48 0 1788867482 427423
0 2167 52 0 1788867482 427581
0 2193 81 0 1788867482 429127
0 2258 117 0 1788867482 434064
0 2281 55 0 1788867482 436268
0 2287 71 0 1788867482 436641
0 2291 61 0 1788867482 436878
0 2303 78 0 1788867482 437739
0 2325 66 0 1788867482 439564
0 2336 80 0 1788867482 440470
0 2348 205 0 1788867482 442055
0 2401 57 0 1788867482 448012
0 2412 47 0 1788867482 448559
0 2420 48 0 1788867482 448994
0 2422 51 0 1788867482 449097
0 2451 49 0 1788867482 450829
0 2453 48 0 1788867482 450931
0 2493 44 0 1788867482 452979
0 2514 59 0 1788867482 454249
0 2519 48 0 1788867482 454566
0 2549 58 0 1788867482 456187
0 2550 64 0 1788867482 456254
0 2553 53 0 1788867482 456443
0 2557 72 0 1788867482 456662
0 2561 70 0 1788867482 456874
0 2601 0 0 1788867482 459780
0 2606 57 0 1788867482 460112
0 2652 55 0 1788867482 462661
0 2661 61 0 1788867482 463230
0 2675 50 0 1788867482 464089
0 2698 57 0 1788867482 465602
0 2785 58 0 1788867482 471471
0 2904 40 0 1788867482 478300
0 2933 84 0 1788867482 479692
0 2956 54 0 1788867482 480906
0 2985 41 0 1788867482 482355
0 3010 55 0 1788867482 483442
0 3021 60 0 1788867482 484136
0 3028 52 0 1788867482 484558
0 3032 42 0 1788867482 484768
0 3049 55 0 1788867482 485664
0 3056 39 0 1788867482 485957
0 3066 43 0 1788867482 486376
0 3071 38 0 1788867482 486584
0 3073 43 0 1788867482 486677
0 3088 49 0 1788867482 487327
0 3095 58 0 1788867482 487741
0 3132 42 0 1788867482 489780
0 3140 47 0 1788867482 490138
0 3143 39 0 1788867482 490264
0 3163 57 0 1788867482 491205
0 3234 66 0 1788867482 495216
0 3279 100 0 1788867482 498458
0 3289 101 0 1788867482 499378
0 3302 160 0 1788867482 500648
0 3343 71 0 1788867482 503821
0 3356 54 0 1788867482 504538
0 3384 47 0 1788867482 506004
0 3395 59 0 1788867482 506583
0 3401 53 0 1788867482 506981
0 3468 57 0 1788867482 510738
0 3474 42 0 1788867482 511032
0 3478 56 0 1788867482 511232
0 3524 61 0 1788867482 513626
0 3530 47 0 1788867482 513930
0 3535 44 0 1788867482 514156
0 3569 53 0 1788867482 515859
0 3579 44 0 1788867482 516346
0 3593 52 0 1788867482 517010
0 3594 41 0 1788867482 517052
0 3602 45 0 1788867482 517398
0 3624 47 0 1788867482 518430
0 3633 52 0 1788867482 518935
0 3643 67 0 1788867482 519605
0 3654 60 0 1788867482 520280
0 3664 42 0 1788867482 520901
0 3678 48 0 1788867482 521504
0 3683 40 0 1788867482 521746
0 3693 63 0 1788867482 522236
0 3700 62 0 1788867482 522695
0 3705 59 0 1788867482 522980
0 3733 47 0 1788867482 524701
0 3751 48 0 1788867482 525501
0 3762 54 0 1788867482 526124
0 3767 48 0 1788867482 526387
0 3803 48 0 1788867482 528427
0 3811 46 0 1788867482 528838
0 3831 60 0 1788867482 530119
0 3848 57 0 1788867482 531802
0 3857 78 0 1788867482 532344
0 3878 68 0 1788867482 533837
0 3891 57 0 1788867482 534877
0 3922 58 0 1788867482 536705
0 3940 57 0 1788867482 537764
0 3951 51 0 1788867482 538354
0 3956 59 0 1788867482 538619
0 3957 66 0 1788867482 538687
0 3964 57 0 1788867482 539107
0 4011 85 0 1788867482 542363
0 4048 76 0 1788867482 546048
0 4053 70 0 1788867482 546423
0 4059 73 0 1788867482 546917
0 4060 67 0 1788867482 546989
0 4074 65 0 1788867482 547904
0 4105 54 0 1788867482 549802
0 4137 56 0 1788867482 551970
0 4139 58 0 1788867482 552085
0 4144 54 0 1788867482 552366
0 4157 41 0 1788867482 553031
0 4188 92 0 1788867482 554690
0 4194 58 0 1788867482 555090
0 4245 44 0 1788867482 557787
0 4266 95 0 1788867482 559078
0 4277 59 0 1788867482 559855
0 4299 48 0 1788867482 561109
0 4314 65 0 1788867482 561963
0 4331 60 0 1788867482 563235
0 4332 65 0 1788867482 563304
0 4335 58 0 1788867482 563491
0 4353 145 0 1788867482 564741
0 4375 84 0 1788867482 566579
0 4415 62 0 1788867482 569547
0 4418 64 0 1788867482 569752
0 4456 55 0 1788867482 572053
0 4460 53 0 1788867482 572282
0 4464 67 0 1788867482 572518
0 4474 55 0 1788867482 573116
0 4513 69 0 1788867482 575819
0 4556 44 0 1788867482 578192
0 4568 44 0 1788867482 578781
0 4581 78 0 1788867482 579428
0 4587 48 0 1788867482 579745
0 4589 45 0 1788867482 579841
0 4591 53 0 1788867482 579942
0 4615 65 0 1788867482 581240
0 4641 58 0 1788867482 582795
0 4659 62 0 1788867482 583667
0 4675 62 0 1788867482 584459
0 4686 64 0 1788867482 585216
0 4719 50 0 1788867482 587044
0 4762 52 0 1788867482 589437
0 4798 41 0 1788867482 591153
0 4819 53 0 1788867482 592279
0 4821 57 0 1788867482 592399
0 4831 52 0 1788867482 592969
0 4863 47 0 1788867482 594684
0 4882 69 0 1788867482 595716
0 5089 48 0 1788867482 609125
0 5100 56 0 1788867482 609751
0 5126 71 0 1788867482 611125
0 5146 63 0 1788867482 612514
0 5160 46 0 1788867482 613342
0 5201 71 0 1788867482 615660
0 5213 72 0 1788867482 616312
0 5227 42 0 1788867482 617137
0 5234 47 0 1788867482 617461
0 5244 78 0 1788867482 618020
0 5288 50 0 1788867482 620849
0 5300 62 0 1788867482 621522
0 5302 94 0 1788867482 621689
0 5308 58 0 1788867482 622063
0 5338 48 0 1788867482 624051
0 5362 89 0 1788867482 625855
0 5366 55 0 1788867482 626095
0 5421 67 0 1788867482 629093
0 5454 66 0 1788867482 631042
0 5533 62 0 1788867482 636323
0 5557 54 0 1788867482 637922
0 5563 44 0 1788867482 638250
0 5575 56 0 1788867482 638919
0 5576 45 0 1788867482 638966
0 5584 62 0 1788867482 639472
0 5595 58 0 1788867482 640152
0 5620 51 0 1788867482 641824
0 5638 56 0 1788867482 642802
0 5656 72 0 1788867482 643994
0 5663 49 0 1788867482 644360
0 5665 56 0 1788867482 644473
0 5678 48 0 1788867482 645213
0 5700 44 0 1788867482 646225
0 5704 55 0 1788867482 646438
0 5711 52 0 1788867482 646816
0 5723 76 0 1788867482 647588
0 5755 50 0 1788867482 649378
0 5756 48 0 1788867482 649430
0 5777 55 0 1788867482 650495
0 5788 57 0 1788867482 651142
0 5810 46 0 1788867482 652390
0 5820 42 0 1788867482 652918
0 5844 66 0 1788867482 654115
0 5846 54 0 1788867482 654230
0 5847 58 0 1788867482 654291
0 5850 51 0 1788867482 654456
0 5862 50 0 1788867482 655072
0 5864 47 0 1788867482 655171
0 5891 83 0 1788867482 656674
0 5934 93 0 1788867482 660902
0 5949 82 0 1788867482 662146
0 6108 59 0 1788867482 676136
0 6115 126 0 1788867482 676694
0 6117 68 0 1788867482 676851
0 6141 93 0 1788867482 679122
0 6186 74 0 1788867482 683018
0 6195 73 0 1788867482 683800
0 6227 61 0 1788867482 686195
0 6231 57 0 1788867482 686496
0 6234 61 0 1788867482 686710
0 6247 74 0 1788867482 687539
0 6343 62 0 1788867482 694256
0 6349 83 0 1788867482 694823
0 6351 89 0 1788867482 695007
0 6362 159 0 1788867482 696538
0 6373 81 0 1788867482 697501
0 6393 66 0 1788867482 699204
0 6412 73 0 1788867482 700572
0 6425 60 0 1788867482 701437
0 6441 73 0 1788867482 702732
0 6500 178 0 1788867482 712537
0 6501 248 0 1788867482 712796
0 6509 105 0 1788867482 713941
0 6514 58 0 1788867482 714262
0 6527 61 0 1788867482 715303
0 6528 63 0 1788867482 715369
0 6539 60 0 1788867482 716098
0 6559 76 0 1788867482 717431
0 6563 64 0 1788867482 717761
0 6567 91 0 1788867482 718111
0 6576 100 0 1788867482 718856
0 6578 116 0 1788867482 719081
0 6604 70 0 1788867482 721029
0 6605 90 0 1788867482 721124
0 6671 72 0 1788867482 726971
0 6694 64 0 1788867482 728349
0 6701 65 0 1788867482 728908
0 6733 55 0 1788867482 731042
0 6769 80 0 1788867482 734467
0 6771 173 0 1788867482 734735
0 6784 74 0 1788867482 736010
0 6814 63 0 1788867482 737899
0 6821 62 0 1788867482 738327
0 6822 62 0 1788867482 738393
0 6854 106 0 1788867482 740982
0 6869 58 0 1788867482 742141
0 6874 83 0 1788867482 742496
0 6884 64 0 1788867482 743126
0 6888 62 0 1788867482 743377
0 6928 62 0 1788867482 745608
0 6948 62 0 1788867482 746717
0 6967 58 0 1788867482 747663
0 7002 46 0 1788867482 749447
0 7044 63 0 1788867482 751880
0 7084 53 0 1788867482 754173
0 7095 43 0 1788867482 754779
0 7096 47 0 1788867482 754828
0 7124 58 0 1788867482 756296
0 7173 48 0 1788867482 759061
0 7175 53 0 1788867482 759171
0 7218 53 0 1788867482 761418
0 7271 53 0 1788867482 764523
0 7276 80 0 1788867482 764985
0 7287 65 0 1788867482 765758
0 7310 100 0 1788867482 768127
0 7325 95 0 1788867482 769558
0 7332 78 0 1788867482 770147
0 7369 68 0 1788867482 773327
0 7378 80 0 1788867482 774233
0 7404 58 0 1788867482 775955
0 7435 56 0 1788867482 777625
0 7493 60 0 1788867482 780733
0 7503 71 0 1788867482 781387
0 7533 60 0 1788867482 783379
0 7546 80 0 1788867482 784357
0 7552 65 0 1788867482 784826
0 7564 72 0 1788867482 785780
0 7577 53 0 1788867482 786854
0 7584 62 0 1788867482 787269
0 7590 87 0 1788867482 787688
0 7595 60 0 1788867482 788035
0 7613 48 0 1788867482 789103
0 7620 0 0 1788867482 789600
0 7633 60 0 1788867482 790507
0 7661 85 0 1788867482 792715
0 7672 71 0 1788867482 793526
0 7734 60 0 1788867482 798430
0 7762 86 0 1788867482 800564
0 7766 88 0 1788867482 800989
0 7768 92 0 1788867482 801172
0 7771 127 0 1788867482 801526
0 7807 54 0 1788867482 804059
0 7826 67 0 1788867482 805332
0 7917 52 0 1788867482 811042
0 7947 50 0 1788867482 812572
0 7952 50 0 1788867482 812849
0 7957 49 0 1788867482 813093
0 7982 53 0 1788867482 814441
0 8003 52 0 1788867482 815707
0 8009 52 0 1788867482 816025
0 8010 50 0 1788867482 816078
0 8014 55 0 1788867482 816294
0 8036 50 0 1788867482 817606
0 8045 51 0 1788867482 818216
0 8061 55 0 1788867482 819044
0 8071 52 0 1788867482 819582
0 8084 63 0 1788867482 820398
0 8139 50 0 1788867482 823332
0 8154 56 0 1788867482 824127
0 8187 54 0 1788867482 825946
0 8273 80 0 1788867482 831051
0 8305 54 0 1788867482 833332
0 8307 62 0 1788867482 833463
0 8320 60 0 1788867482 834404
0 8346 73 0 1788867482 836539
0 8349 98 0 1788867482 836808
0 8350 73 0 1788867482 836886
0 8377 57 0 1788867482 838475
0 8382 53 0 1788867482 838766
0 8384 53 0 1788867482 838876
0 8455 72 0 1788867482 844490
0 8476 88 0 1788867482 846011
0 8494 47 0 1788867482 847050
0 8507 52 0 1788867482 847773
0 8526 81 0 1788867482 848961
0 8548 56 0 1788867482 850271
0 8566 55 0 1788867482 851326
0 8582 55 0 1788867482 852393
0 8602 58 0 1788867482 853594
0 8605 55 0 1788867482 853792
0 8609 50 0 1788867482 853997
0 8656 66 0 1788867482 856997
0 8657 59 0 1788867482 857059
0 8704 73 0 1788867482 861006
0 8712 77 0 1788867482 861534
0 8735 68 0 1788867482 863050
0 8748 40 0 1788867482 863957
0 8803 59 0 1788867482 869427
0 8805 67 0 1788867482 869561
0 8842 90 0 1788867482 872445
0 8854 91 0 1788867482 873422
0 8898 79 0 1788867482 877010
0 8899 98 0 1788867482 877112
0 8915 52 0 1788867482 878241
0 8930 66 0 1788867482 879108
0 8935 71 0 1788867482 879447
0 8937 61 0 1788867482 879573
0 8952 61 0 1788867482 880456
0 8973 59 0 1788867482 881775
0 9012 53 0 1788867482 884198
0 9027 55 0 1788867482 885109
0 9076 79 0 1788867482 888098
0 9126 60 0 1788867482 891630
0 9149 59 0 1788867482 893023
0 9152 53 0 1788867482 893185
0 9165 54 0 1788867482 893903
0 9176 55 0 1788867482 894516
0 9177 52 0 1788867482 894571
0 9228 101 0 1788867482 897708
0 9281 51 0 1788867482 901046
0 9291 71 0 1788867482 901720
