MemTotal:       63903732 kB
MemFree:         2965564 kB
MemAvailable:   45291400 kB
Buffers:          818016 kB
Cached:         42024876 kB
SwapCached:      2142916 kB
Active:         28124252 kB
Inactive:       28353984 kB
Active(anon):   12312108 kB
Inactive(anon):  3753564 kB
Active(file):   15812144 kB
Inactive(file): 24600420 kB
Unevictable:      324572 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29598876 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1408 kB
Writeback:             0 kB
AnonPages:      13891788 kB
Mapped:          2823604 kB
Shmem:           2431080 kB
KReclaimable:    2698504 kB
Slab:            3529100 kB
SReclaimable:    2698504 kB
SUnreclaim:       830596 kB
KernelStack:       59528 kB
PageTables:       217580 kB
SecPageTables:      9256 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   77200020 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      162436 kB
VmallocChunk:          0 kB
Percpu:            27968 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1087488 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10209280 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
