pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 64
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 743212
number of failed transactions: 0 (0.000%)
latency average = 0.851 ms
initial connection time = 145.850 ms
tps = 75183.365241 (without initial connection time)
===LOGS===
3 1 43276 0 1788864986 839457
5 1 37597 0 1788864986 839474
1 3 911 0 1788864986 841155
3 8 321 0 1788864986 841603
6 10 539 0 1788864986 843264
0 2 3944 0 1788864986 843427
3 19 231 0 1788864986 844212
7 11 167 0 1788864986 844452
2 19 417 0 1788864986 846515
7 24 0 0 1788864986 849106
0 14 1128 0 1788864986 853063
4 15 407 0 1788864986 855666
2 32 234 0 1788864986 855921
5 26 650 0 1788864986 855927
7 35 5173 0 1788864986 872968
6 29 4122 0 1788864986 879659
2 43 409 0 1788864986 880715
7 47 233 0 1788864986 882828
1 40 393 0 1788864986 883368
0 33 117 0 1788864986 884131
3 67 410 0 1788864986 885679
6 41 446 0 1788864986 885748
0 50 222 0 1788864986 890859
3 79 1138 0 1788864986 892118
0 72 161 0 1788864986 894155
5 46 633 0 1788864986 894161
6 56 384 0 1788864986 895630
4 43 1353 0 1788864986 897312
6 62 618 0 1788864986 898498
6 63 307 0 1788864986 898809
0 94 742 0 1788864986 898938
6 64 361 0 1788864986 899174
2 93 262 0 1788864986 905315
2 94 300 0 1788864986 905618
7 112 302 0 1788864986 905736
5 61 1379 0 1788864986 905777
3 110 326 0 1788864986 906173
2 99 278 0 1788864986 906834
2 104 256 0 1788864986 908046
0 125 339 0 1788864986 909972
1 100 1929 0 1788864986 910724
7 126 313 0 1788864986 911059
2 108 288 0 1788864986 911787
6 93 285 0 1788864986 911983
6 96 302 0 1788864986 912779
0 136 300 0 1788864986 913404
1 107 237 0 1788864986 913411
3 134 232 0 1788864986 913560
0 137 524 0 1788864986 913939
5 68 1217 0 1788864986 914100
7 137 269 0 1788864986 915261
0 143 548 0 1788864986 916523
2 131 0 0 1788864986 920252
0 154 289 0 1788864986 921935
3 151 323 0 1788864986 923234
0 159 250 0 1788864986 923698
3 160 335 0 1788864986 926204
4 94 493 0 1788864986 926376
0 169 194 0 1788864986 926931
6 128 242 0 1788864986 929098
2 151 234 0 1788864986 929373
0 179 490 0 1788864986 930595
2 158 350 0 1788864986 931059
7 171 296 0 1788864986 933369
1 159 117 0 1788864986 933630
