MemTotal:       63903732 kB
MemFree:         6353792 kB
MemAvailable:   48768204 kB
Buffers:          815492 kB
Cached:         41859968 kB
SwapCached:      2136152 kB
Active:         22037396 kB
Inactive:       30112436 kB
Active(anon):    7953056 kB
Inactive(anon):  3791212 kB
Active(file):   14084340 kB
Inactive(file): 26321224 kB
Unevictable:     1274300 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29536772 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             49492 kB
Writeback:             0 kB
AnonPages:      10679884 kB
Mapped:          2707680 kB
Shmem:           2270520 kB
KReclaimable:    2728544 kB
Slab:            3525612 kB
SReclaimable:    2728544 kB
SUnreclaim:       797068 kB
KernelStack:       54988 kB
PageTables:       174032 kB
SecPageTables:      9416 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   58598964 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      156624 kB
VmallocChunk:          0 kB
Percpu:            21600 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1222656 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8886272 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
