MemTotal:       63903732 kB
MemFree:         6147780 kB
MemAvailable:   48656172 kB
Buffers:          827696 kB
Cached:         41940800 kB
SwapCached:      2136152 kB
Active:         22160752 kB
Inactive:       30195064 kB
Active(anon):    8070844 kB
Inactive(anon):  3789296 kB
Active(file):   14089908 kB
Inactive(file): 26405768 kB
Unevictable:     1268956 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29536972 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             13988 kB
Writeback:             0 kB
AnonPages:      10787640 kB
Mapped:          2690824 kB
Shmem:           2273500 kB
KReclaimable:    2732412 kB
Slab:            3530264 kB
SReclaimable:    2732412 kB
SUnreclaim:       797852 kB
KernelStack:       55428 kB
PageTables:       175484 kB
SecPageTables:      9388 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   60058372 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      157168 kB
VmallocChunk:          0 kB
Percpu:            21728 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1226752 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8792064 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
