MemTotal:       63903732 kB
MemFree:         6499404 kB
MemAvailable:   49010200 kB
Buffers:          805228 kB
Cached:         41998792 kB
SwapCached:      2135992 kB
Active:         21756764 kB
Inactive:       30275228 kB
Active(anon):    7680204 kB
Inactive(anon):  3807976 kB
Active(file):   14076560 kB
Inactive(file): 26467252 kB
Unevictable:     1266216 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29536620 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              5460 kB
Writeback:             0 kB
AnonPages:      10424460 kB
Mapped:          2675100 kB
Shmem:           2260904 kB
KReclaimable:    2727640 kB
Slab:            3523708 kB
SReclaimable:    2727640 kB
SUnreclaim:       796068 kB
KernelStack:       55332 kB
PageTables:       171004 kB
SecPageTables:      9440 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   58306528 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      157264 kB
VmallocChunk:          0 kB
Percpu:            21472 kB
HardwareCorrupted:     0 kB
AnonHugePages:      4096 kB
ShmemHugePages:  1206272 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8857600 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
