MemTotal:       63903732 kB
MemFree:         2294408 kB
MemAvailable:   45532168 kB
Buffers:         1036776 kB
Cached:         42801160 kB
SwapCached:      2138108 kB
Active:         25362092 kB
Inactive:       30808140 kB
Active(anon):   11233944 kB
Inactive(anon):  3725288 kB
Active(file):   14128148 kB
Inactive(file): 27082852 kB
Unevictable:     1239512 kB
Mlocked:             248 kB
SwapTotal:      33554428 kB
SwapFree:       29544540 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1188 kB
Writeback:             0 kB
AnonPages:      13502580 kB
Mapped:          2923856 kB
Shmem:           2627656 kB
KReclaimable:    2746456 kB
Slab:            3558696 kB
SReclaimable:    2746456 kB
SUnreclaim:       812240 kB
KernelStack:       59552 kB
PageTables:       210820 kB
SecPageTables:      9420 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   74750624 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161480 kB
VmallocChunk:          0 kB
Percpu:            23872 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1163264 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8972288 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
