MemTotal:       63903732 kB
MemFree:         2345876 kB
MemAvailable:   45288292 kB
Buffers:         1050864 kB
Cached:         42322660 kB
SwapCached:      2138316 kB
Active:         25631060 kB
Inactive:       30463196 kB
Active(anon):   11466632 kB
Inactive(anon):  3713384 kB
Active(file):   14164428 kB
Inactive(file): 26749812 kB
Unevictable:     1222092 kB
Mlocked:             248 kB
SwapTotal:      33554428 kB
SwapFree:       29545252 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3844 kB
Writeback:             0 kB
AnonPages:      13874060 kB
Mapped:          2880228 kB
Shmem:           2459696 kB
KReclaimable:    2747872 kB
Slab:            3564304 kB
SReclaimable:    2747872 kB
SUnreclaim:       816432 kB
KernelStack:       59352 kB
PageTables:       212836 kB
SecPageTables:      9476 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   75028808 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161212 kB
VmallocChunk:          0 kB
Percpu:            24928 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1138688 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9019392 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
