MemTotal:       63903732 kB
MemFree:         2856148 kB
MemAvailable:   46122100 kB
Buffers:         1041064 kB
Cached:         42699272 kB
SwapCached:      2138136 kB
Active:         24822004 kB
Inactive:       30838956 kB
Active(anon):   10698556 kB
Inactive(anon):  3724204 kB
Active(file):   14123448 kB
Inactive(file): 27114752 kB
Unevictable:     1194016 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29544768 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4988 kB
Writeback:             0 kB
AnonPages:      13045504 kB
Mapped:          2847008 kB
Shmem:           2502844 kB
KReclaimable:    2747448 kB
Slab:            3563512 kB
SReclaimable:    2747448 kB
SUnreclaim:       816064 kB
KernelStack:       59184 kB
PageTables:       211152 kB
SecPageTables:      9404 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   74611304 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161320 kB
VmallocChunk:          0 kB
Percpu:            24256 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1124352 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8992768 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
