MemTotal:       63903732 kB
MemFree:         2391528 kB
MemAvailable:   40784196 kB
Buffers:         1000936 kB
Cached:         38546760 kB
SwapCached:      5733884 kB
Active:         19155820 kB
Inactive:       38209624 kB
Active(anon):   16864988 kB
Inactive(anon):  3208788 kB
Active(file):    2290832 kB
Inactive(file): 35000836 kB
Unevictable:      388016 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21768388 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             55648 kB
Writeback:             0 kB
AnonPages:      18146860 kB
Mapped:          2470944 kB
Shmem:           2256844 kB
KReclaimable:    2181144 kB
Slab:            3019336 kB
SReclaimable:    2181144 kB
SUnreclaim:       838192 kB
KernelStack:       63128 kB
PageTables:       257592 kB
SecPageTables:     10836 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   86545232 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168268 kB
VmallocChunk:          0 kB
Percpu:            27968 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   407552 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9551872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
