MemTotal:       63903732 kB
MemFree:         2398928 kB
MemAvailable:   40791668 kB
Buffers:         1000960 kB
Cached:         38555272 kB
SwapCached:      5733884 kB
Active:         19157432 kB
Inactive:       38209696 kB
Active(anon):   16866600 kB
Inactive(anon):  3208788 kB
Active(file):    2290832 kB
Inactive(file): 35000908 kB
Unevictable:      382572 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21768388 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             56512 kB
Writeback:             4 kB
AnonPages:      18134504 kB
Mapped:          2471304 kB
Shmem:           2265308 kB
KReclaimable:    2181144 kB
Slab:            3019336 kB
SReclaimable:    2181144 kB
SUnreclaim:       838192 kB
KernelStack:       63300 kB
PageTables:       257252 kB
SecPageTables:     10832 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   86542200 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168476 kB
VmallocChunk:          0 kB
Percpu:            27968 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   403456 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9551872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
