MemTotal:       63903732 kB
MemFree:         2530136 kB
MemAvailable:   40902896 kB
Buffers:         1001764 kB
Cached:         38519060 kB
SwapCached:      5733924 kB
Active:         19128800 kB
Inactive:       38187212 kB
Active(anon):   16835788 kB
Inactive(anon):  3208788 kB
Active(file):    2293012 kB
Inactive(file): 34978424 kB
Unevictable:      370624 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21768508 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               952 kB
Writeback:             0 kB
AnonPages:      18107008 kB
Mapped:          2472984 kB
Shmem:           2250200 kB
KReclaimable:    2181144 kB
Slab:            3019480 kB
SReclaimable:    2181144 kB
SUnreclaim:       838336 kB
KernelStack:       63196 kB
PageTables:       256944 kB
SecPageTables:     10824 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   86523920 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168428 kB
VmallocChunk:          0 kB
Percpu:            27968 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   397312 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9525248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
