MemTotal:       63903732 kB
MemFree:         2398980 kB
MemAvailable:   41080396 kB
Buffers:          997264 kB
Cached:         38561416 kB
SwapCached:      5951692 kB
Active:         19182776 kB
Inactive:       38155784 kB
Active(anon):   16892844 kB
Inactive(anon):  3209192 kB
Active(file):    2289932 kB
Inactive(file): 34946592 kB
Unevictable:      464056 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21515576 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1676 kB
Writeback:             0 kB
AnonPages:      18189896 kB
Mapped:          2473436 kB
Shmem:           2322972 kB
KReclaimable:    2180972 kB
Slab:            3019428 kB
SReclaimable:    2180972 kB
SUnreclaim:       838456 kB
KernelStack:       64104 kB
PageTables:       262520 kB
SecPageTables:     10784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   89136684 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169284 kB
VmallocChunk:          0 kB
Percpu:            27776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   456704 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9498624 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
