pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 32
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 733492
number of failed transactions: 0 (0.000%)
latency average = 0.433 ms
initial connection time = 86.667 ms
tps = 73884.880158 (without initial connection time)
===LOGS===
0 10 954 0 1788984588 721106
3 6 90 0 1788984588 721985
2 14 446 0 1788984588 724222
1 51 82 0 1788984588 730474
3 33 631 0 1788984588 731006
3 42 0 0 1788984588 734459
1 75 348 0 1788984588 737086
1 94 272 0 1788984588 741075
3 67 421 0 1788984588 743287
2 54 465 0 1788984588 747849
1 129 0 0 1788984588 749373
2 59 225 0 1788984588 750284
1 148 192 0 1788984588 754051
1 153 199 0 1788984588 755151
1 159 252 0 1788984588 756766
3 112 95 0 1788984588 757146
1 164 286 0 1788984588 758238
3 117 223 0 1788984588 758497
2 76 1063 0 1788984588 759822
0 100 470 0 1788984588 765068
0 102 388 0 1788984588 765840
0 103 274 0 1788984588 766119
2 96 403 0 1788984588 768993
1 204 399 0 1788984588 770004
2 99 500 0 1788984588 770391
2 100 366 0 1788984588 770761
1 211 336 0 1788984588 771771
3 179 243 0 1788984588 773402
1 222 513 0 1788984588 773920
0 122 250 0 1788984588 774545
3 185 171 0 1788984588 774926
2 113 285 0 1788984588 775605
2 121 410 0 1788984588 778393
0 143 523 0 1788984588 783488
3 229 96 0 1788984588 783790
0 147 447 0 1788984588 785065
3 241 1047 0 1788984588 790349
0 159 437 0 1788984588 791493
1 285 100 0 1788984588 792401
1 294 165 0 1788984588 794269
3 255 90 0 1788984588 795110
3 258 169 0 1788984588 796906
1 311 138 0 1788984588 799272
3 287 110 0 1788984588 801601
3 309 394 0 1788984588 807370
2 185 368 0 1788984588 807762
2 194 424 0 1788984588 812204
0 204 77 0 1788984588 812672
3 338 1774 0 1788984588 814018
3 339 652 0 1788984588 814693
1 333 329 0 1788984588 815572
1 335 336 0 1788984588 816420
1 336 295 0 1788984588 816722
1 341 477 0 1788984588 818932
3 346 771 0 1788984588 818980
0 229 367 0 1788984588 825322
2 240 532 0 1788984588 833938
2 249 852 0 1788984588 838207
1 380 1325 0 1788984588 839708
2 251 1253 0 1788984588 840338
1 391 398 0 1788984588 844160
0 266 901 0 1788984588 844414
3 422 929 0 1788984588 846761
2 268 83 0 1788984588 849200
3 428 253 0 1788984588 849500
1 429 618 0 1788984588 859593
2 285 372 0 1788984588 859600
1 432 561 0 1788984588 860865
0 297 645 0 1788984588 861602
3 463 478 0 1788984588 868315
