MemTotal:       63903732 kB
MemFree:         2566612 kB
MemAvailable:   40994072 kB
Buffers:         1039204 kB
Cached:         38714104 kB
SwapCached:      6389916 kB
Active:         19575392 kB
Inactive:       37586296 kB
Active(anon):   16826676 kB
Inactive(anon):  2793132 kB
Active(file):    2748716 kB
Inactive(file): 34793164 kB
Unevictable:      421916 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21740448 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3944 kB
Writeback:             4 kB
AnonPages:      17736356 kB
Mapped:          2505564 kB
Shmem:           2212228 kB
KReclaimable:    2183580 kB
Slab:            3030268 kB
SReclaimable:    2183580 kB
SUnreclaim:       846688 kB
KernelStack:       63728 kB
PageTables:       254952 kB
SecPageTables:     11072 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   88306360 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168812 kB
VmallocChunk:          0 kB
Percpu:            30464 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:   327680 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9781248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
