MemTotal:       63903732 kB
MemFree:         1980484 kB
MemAvailable:   40602904 kB
Buffers:          991472 kB
Cached:         38527220 kB
SwapCached:      5944332 kB
Active:         19602064 kB
Inactive:       38137976 kB
Active(anon):   17323120 kB
Inactive(anon):  3239300 kB
Active(file):    2278944 kB
Inactive(file): 34898676 kB
Unevictable:      490184 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21514332 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2008 kB
Writeback:             0 kB
AnonPages:      18656892 kB
Mapped:          2485076 kB
Shmem:           2341888 kB
KReclaimable:    2180880 kB
Slab:            3019096 kB
SReclaimable:    2180880 kB
SUnreclaim:       838216 kB
KernelStack:       63736 kB
PageTables:       262100 kB
SecPageTables:     10804 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87957480 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169012 kB
VmallocChunk:          0 kB
Percpu:            27776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   471040 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9498624 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
