MemTotal:       63903732 kB
MemFree:         2097112 kB
MemAvailable:   40760072 kB
Buffers:          994692 kB
Cached:         38529884 kB
SwapCached:      5946468 kB
Active:         19495080 kB
Inactive:       38146556 kB
Active(anon):   17207068 kB
Inactive(anon):  3216440 kB
Active(file):    2288012 kB
Inactive(file): 34930116 kB
Unevictable:      455380 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21515300 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1952 kB
Writeback:             4 kB
AnonPages:      18518784 kB
Mapped:          2465156 kB
Shmem:           2307148 kB
KReclaimable:    2180912 kB
Slab:            3019580 kB
SReclaimable:    2180912 kB
SUnreclaim:       838668 kB
KernelStack:       63700 kB
PageTables:       262336 kB
SecPageTables:     10784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87901296 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168964 kB
VmallocChunk:          0 kB
Percpu:            27776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   448512 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9498624 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
