MemTotal:       63903732 kB
MemFree:         1738284 kB
MemAvailable:   40752852 kB
Buffers:         1004916 kB
Cached:         38890204 kB
SwapCached:      6098948 kB
Active:         46564004 kB
Inactive:       11213176 kB
Active(anon):   15901220 kB
Inactive(anon):  4312940 kB
Active(file):   30662784 kB
Inactive(file):  6900236 kB
Unevictable:      687036 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       22066748 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2624 kB
Writeback:             0 kB
AnonPages:      18500592 kB
Mapped:          2443104 kB
Shmem:           2332912 kB
KReclaimable:    2171244 kB
Slab:            3007116 kB
SReclaimable:    2171244 kB
SUnreclaim:       835872 kB
KernelStack:       63304 kB
PageTables:       255272 kB
SecPageTables:     11092 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   86231296 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168540 kB
VmallocChunk:          0 kB
Percpu:            27360 kB
HardwareCorrupted:     0 kB
AnonHugePages:      6144 kB
ShmemHugePages:   438272 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9625600 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
