MemTotal:       63903732 kB
MemFree:         2504300 kB
MemAvailable:   41422160 kB
Buffers:         1014668 kB
Cached:         38716548 kB
SwapCached:      5799952 kB
Active:         19208584 kB
Inactive:       38073808 kB
Active(anon):   16798524 kB
Inactive(anon):  3027564 kB
Active(file):    2410060 kB
Inactive(file): 35046244 kB
Unevictable:      409784 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21703092 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               664 kB
Writeback:           512 kB
AnonPages:      17901676 kB
Mapped:          2456708 kB
Shmem:           2275732 kB
KReclaimable:    2181252 kB
Slab:            3022884 kB
SReclaimable:    2181252 kB
SUnreclaim:       841632 kB
KernelStack:       63956 kB
PageTables:       261920 kB
SecPageTables:     10808 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   89446116 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169108 kB
VmallocChunk:          0 kB
Percpu:            29312 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   456704 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9592832 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
