MemTotal:       63903732 kB
MemFree:         2518132 kB
MemAvailable:   41446280 kB
Buffers:         1015700 kB
Cached:         38705724 kB
SwapCached:      5799940 kB
Active:         19192720 kB
Inactive:       38083856 kB
Active(anon):   16782436 kB
Inactive(anon):  3027564 kB
Active(file):    2410284 kB
Inactive(file): 35056292 kB
Unevictable:      409028 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21703104 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               936 kB
Writeback:           108 kB
AnonPages:      17904572 kB
Mapped:          2445340 kB
Shmem:           2255676 kB
KReclaimable:    2181268 kB
Slab:            3023192 kB
SReclaimable:    2181268 kB
SUnreclaim:       841924 kB
KernelStack:       63640 kB
PageTables:       259496 kB
SecPageTables:     10808 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87949516 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168724 kB
VmallocChunk:          0 kB
Percpu:            29408 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   456704 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9592832 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
