pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 836109
number of failed transactions: 0 (0.000%)
latency average = 0.096 ms
initial connection time = 19.854 ms
tps = 83752.986942 (without initial connection time)
===LOGS===
0 4 83 0 1788985136 979645
0 28 0 0 1788985136 981241
0 88 79 0 1788985136 988989
0 97 0 0 1788985136 989751
0 138 65 0 1788985136 992525
0 145 69 0 1788985136 992987
0 154 0 0 1788985136 993655
0 161 76 0 1788985136 994172
0 189 0 0 1788985136 996684
0 191 79 0 1788985136 996828
0 203 75 0 1788985136 997869
0 221 0 0 1788985136 999120
0 250 101 0 1788985137 1358
0 270 81 0 1788985137 3099
0 284 0 0 1788985137 4465
0 285 0 0 1788985137 4840
0 286 0 0 1788985137 4953
0 298 0 0 1788985137 6368
0 357 0 0 1788985137 11131
0 374 71 0 1788985137 12319
0 381 66 0 1788985137 12824
0 397 70 0 1788985137 13922
0 432 72 0 1788985137 17103
0 462 81 0 1788985137 19647
0 474 73 0 1788985137 20546
0 509 74 0 1788985137 23008
0 521 69 0 1788985137 23852
0 531 168 0 1788985137 24650
0 542 69 0 1788985137 25489
0 576 110 0 1788985137 28523
0 579 0 0 1788985137 28869
0 606 65 0 1788985137 31273
0 612 77 0 1788985137 31701
0 648 78 0 1788985137 39932
0 658 74 0 1788985137 40784
0 701 70 0 1788985137 43878
0 715 76 0 1788985137 45059
0 732 72 0 1788985137 46500
0 738 70 0 1788985137 46938
0 768 66 0 1788985137 49212
0 786 73 0 1788985137 51012
0 789 75 0 1788985137 51240
0 802 66 0 1788985137 52131
0 804 90 0 1788985137 52290
0 805 74 0 1788985137 52366
0 858 66 0 1788985137 56588
0 867 65 0 1788985137 57191
0 918 75 0 1788985137 63432
0 927 71 0 1788985137 64080
0 937 78 0 1788985137 65017
0 939 74 0 1788985137 65173
0 955 80 0 1788985137 66658
