MemTotal:       63903732 kB
MemFree:         3319580 kB
MemAvailable:   42273532 kB
Buffers:         1026556 kB
Cached:         38722936 kB
SwapCached:      5814844 kB
Active:         18610584 kB
Inactive:       37721764 kB
Active(anon):   16018652 kB
Inactive(anon):  2821940 kB
Active(file):    2591932 kB
Inactive(file): 34899824 kB
Unevictable:      495820 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21690520 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2284 kB
Writeback:             0 kB
AnonPages:      17016920 kB
Mapped:          2470632 kB
Shmem:           2258540 kB
KReclaimable:    2181892 kB
Slab:            3025660 kB
SReclaimable:    2181892 kB
SUnreclaim:       843768 kB
KernelStack:       63936 kB
PageTables:       254980 kB
SecPageTables:     11048 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   88411540 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169012 kB
VmallocChunk:          0 kB
Percpu:            30080 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   442368 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9613312 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
