MemTotal:       63903732 kB
MemFree:         3136396 kB
MemAvailable:   40465436 kB
Buffers:          552612 kB
Cached:         37515680 kB
SwapCached:      6171384 kB
Active:         28475420 kB
Inactive:       27961008 kB
Active(anon):   12519064 kB
Inactive(anon):  8053760 kB
Active(file):   15956356 kB
Inactive(file): 19907248 kB
Unevictable:      478828 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20224496 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             10968 kB
Writeback:             0 kB
AnonPages:      18781408 kB
Mapped:          2436044 kB
Shmem:           2205540 kB
KReclaimable:    2185132 kB
Slab:            3014040 kB
SReclaimable:    2185132 kB
SUnreclaim:       828908 kB
KernelStack:       66656 kB
PageTables:       287964 kB
SecPageTables:     10560 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96193152 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172052 kB
VmallocChunk:          0 kB
Percpu:            23712 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   428032 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9650176 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
