MemTotal:       63903732 kB
MemFree:         3066148 kB
MemAvailable:   40321792 kB
Buffers:          544940 kB
Cached:         37454316 kB
SwapCached:      6170564 kB
Active:         28671060 kB
Inactive:       28000088 kB
Active(anon):   12717720 kB
Inactive(anon):  8161416 kB
Active(file):   15953340 kB
Inactive(file): 19838672 kB
Unevictable:      426152 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20223608 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3960 kB
Writeback:             0 kB
AnonPages:      19033500 kB
Mapped:          2458320 kB
Shmem:           2208092 kB
KReclaimable:    2183328 kB
Slab:            3011336 kB
SReclaimable:    2183328 kB
SUnreclaim:       828008 kB
KernelStack:       66856 kB
PageTables:       292764 kB
SecPageTables:     10516 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96916984 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172116 kB
VmallocChunk:          0 kB
Percpu:            23360 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   397312 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9596928 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
