MemTotal:       63903732 kB
MemFree:         3339012 kB
MemAvailable:   40723040 kB
Buffers:          562980 kB
Cached:         37619004 kB
SwapCached:      6302772 kB
Active:         29137996 kB
Inactive:       27253424 kB
Active(anon):   13168064 kB
Inactive(anon):  7305796 kB
Active(file):   15969932 kB
Inactive(file): 19947628 kB
Unevictable:      456816 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20313048 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2832 kB
Writeback:             0 kB
AnonPages:      18591520 kB
Mapped:          2552108 kB
Shmem:           2265276 kB
KReclaimable:    2186164 kB
Slab:            3016052 kB
SReclaimable:    2186164 kB
SUnreclaim:       829888 kB
KernelStack:       66672 kB
PageTables:       284940 kB
SecPageTables:     10508 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94711592 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171860 kB
VmallocChunk:          0 kB
Percpu:            24416 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   428032 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
