MemTotal:       63903732 kB
MemFree:         3360336 kB
MemAvailable:   40681412 kB
Buffers:          565568 kB
Cached:         37589356 kB
SwapCached:      6295116 kB
Active:         29577324 kB
Inactive:       26787276 kB
Active(anon):   13283688 kB
Inactive(anon):  7227496 kB
Active(file):   16293636 kB
Inactive(file): 19559780 kB
Unevictable:      473676 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20264808 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             52588 kB
Writeback:             0 kB
AnonPages:      18609560 kB
Mapped:          2492764 kB
Shmem:           2302336 kB
KReclaimable:    2187356 kB
Slab:            3017704 kB
SReclaimable:    2187356 kB
SUnreclaim:       830348 kB
KernelStack:       66828 kB
PageTables:       286428 kB
SecPageTables:     10504 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96744200 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172140 kB
VmallocChunk:          0 kB
Percpu:            24672 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   450560 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9637888 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
