MemTotal:       63903732 kB
MemFree:         3221984 kB
MemAvailable:   40537852 kB
Buffers:          568004 kB
Cached:         37614988 kB
SwapCached:      6295312 kB
Active:         29669336 kB
Inactive:       26781104 kB
Active(anon):   13374400 kB
Inactive(anon):  7227332 kB
Active(file):   16294936 kB
Inactive(file): 19553772 kB
Unevictable:      518936 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20264848 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3176 kB
Writeback:             0 kB
AnonPages:      18712792 kB
Mapped:          2490320 kB
Shmem:           2335136 kB
KReclaimable:    2186856 kB
Slab:            3017460 kB
SReclaimable:    2186856 kB
SUnreclaim:       830604 kB
KernelStack:       66188 kB
PageTables:       284208 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94581000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171556 kB
VmallocChunk:          0 kB
Percpu:            24736 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   493568 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9615360 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
