MemTotal:       63903732 kB
MemFree:         3887772 kB
MemAvailable:   41259060 kB
Buffers:          559980 kB
Cached:         37590608 kB
SwapCached:      6257352 kB
Active:         28580608 kB
Inactive:       27246528 kB
Active(anon):   12612208 kB
Inactive(anon):  7309836 kB
Active(file):   15968400 kB
Inactive(file): 19936692 kB
Unevictable:      468456 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20310964 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3184 kB
Writeback:            36 kB
AnonPages:      18070176 kB
Mapped:          2510944 kB
Shmem:           2246344 kB
KReclaimable:    2185892 kB
Slab:            3015364 kB
SReclaimable:    2185892 kB
SUnreclaim:       829472 kB
KernelStack:       66304 kB
PageTables:       283264 kB
SecPageTables:     10496 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94311120 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171652 kB
VmallocChunk:          0 kB
Percpu:            24224 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   442368 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
