pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 896483
number of failed transactions: 0 (0.000%)
latency average = 0.089 ms
initial connection time = 24.871 ms
tps = 89803.903223 (without initial connection time)
===LOGS===
0 11 134 0 1788978697 49977
0 12 86 0 1788978697 50072
0 46 96 0 1788978697 53444
0 146 64 0 1788978697 63440
0 150 0 0 1788978697 63695
0 196 110 0 1788978697 67730
0 212 121 0 1788978697 69889
0 269 73 0 1788978697 75031
0 278 79 0 1788978697 75689
0 317 70 0 1788978697 78472
0 325 64 0 1788978697 79043
0 389 74 0 1788978697 83838
0 407 74 0 1788978697 85188
0 473 69 0 1788978697 90047
0 479 113 0 1788978697 91342
0 482 85 0 1788978697 91708
0 490 71 0 1788978697 92296
0 517 71 0 1788978697 94282
0 531 66 0 1788978697 95276
0 576 68 0 1788978697 98425
0 608 99 0 1788978697 100675
0 626 80 0 1788978697 102020
0 689 70 0 1788978697 106704
0 702 76 0 1788978697 107602
0 709 84 0 1788978697 108115
0 733 0 0 1788978697 109915
0 770 70 0 1788978697 112505
0 776 66 0 1788978697 112942
0 777 66 0 1788978697 113011
0 824 71 0 1788978697 116463
0 836 69 0 1788978697 117311
0 847 70 0 1788978697 118080
0 852 69 0 1788978697 118429
0 883 64 0 1788978697 120538
0 901 67 0 1788978697 121834
0 947 79 0 1788978697 125187
0 972 73 0 1788978697 127014
0 1001 72 0 1788978697 129129
0 1002 72 0 1788978697 129204
0 1027 70 0 1788978697 131026
0 1056 67 0 1788978697 133109
0 1091 68 0 1788978697 135464
0 1093 73 0 1788978697 135607
0 1097 75 0 1788978697 135916
0 1135 67 0 1788978697 138579
0 1159 78 0 1788978697 140393
0 1173 64 0 1788978697 141352
0 1189 70 0 1788978697 142457
0 1195 76 0 1788978697 142928
0 1225 67 0 1788978697 145017
0 1245 67 0 1788978697 146356
0 1250 0 0 1788978697 146760
0 1329 69 0 1788978697 152697
0 1349 82 0 1788978697 154199
0 1359 81 0 1788978697 155028
0 1379 76 0 1788978697 156656
0 1416 72 0 1788978697 159306
0 1424 71 0 1788978697 159884
0 1461 72 0 1788978697 163020
0 1467 75 0 1788978697 163462
0 1482 72 0 1788978697 164556
0 1484 73 0 1788978697 164713
0 1487 66 0 1788978697 164923
0 1507 69 0 1788978697 166304
0 1515 66 0 1788978697 166859
0 1523 69 0 1788978697 167430
0 1531 73 0 1788978697 168034
0 1543 90 0 1788978697 170004
0 1568 142 0 1788978697 171694
0 1589 61 0 1788978697 173320
0 1595 672 0 1788978697 174327
0 1598 339 0 1788978697 174924
0 1632 66 0 1788978697 177704
0 1639 83 0 1788978697 178187
0 1646 71 0 1788978697 178653
0 1671 79 0 1788978697 180481
0 1686 88 0 1788978697 181699
0 1696 68 0 1788978697 182375
0 1733 68 0 1788978697 185226
0 1742 74 0 1788978697 185877
0 1752 76 0 1788978697 186617
0 1761 71 0 1788978697 187336
0 1775 69 0 1788978697 188340
0 1781 71 0 1788978697 188777
0 1799 71 0 1788978697 190067
0 1819 77 0 1788978697 191561
0 1866 71 0 1788978697 195015
0 1876 73 0 1788978697 195770
0 1910 70 0 1788978697 198144
0 1918 69 0 1788978697 198719
0 1926 67 0 1788978697 199262
0 1929 68 0 1788978697 199467
0 2027 64 0 1788978697 206237
0 2064 68 0 1788978697 208958
0 2074 73 0 1788978697 209654
0 2092 65 0 1788978697 210888
0 2100 64 0 1788978697 211414
0 2115 66 0 1788978697 212417
0 2153 64 0 1788978697 215000
0 2172 64 0 1788978697 216239
0 2217 65 0 1788978697 219292
0 2221 65 0 1788978697 219559
0 2267 76 0 1788978697 222661
0 2316 64 0 1788978697 226028
0 2337 68 0 1788978697 227424
0 2351 67 0 1788978697 228386
0 2359 65 0 1788978697 228940
0 2374 67 0 1788978697 229924
0 2392 66 0 1788978697 231132
0 2411 71 0 1788978697 233246
0 2440 68 0 1788978697 235265
0 2468 71 0 1788978697 237242
0 2497 65 0 1788978697 239191
0 2501 64 0 1788978697 239450
0 2527 66 0 1788978697 241185
0 2531 65 0 1788978697 241451
0 2538 70 0 1788978697 241990
0 2541 68 0 1788978697 242200
0 2566 64 0 1788978697 243856
0 2577 64 0 1788978697 244568
0 2581 64 0 1788978697 244833
0 2604 67 0 1788978697 246366
0 2615 66 0 1788978697 247107
0 2633 66 0 1788978697 248332
0 2644 65 0 1788978697 249244
0 2650 75 0 1788978697 249655
0 2657 133 0 1788978697 250220
0 2671 65 0 1788978697 251206
0 2675 66 0 1788978697 251472
0 2733 70 0 1788978697 255461
0 2751 68 0 1788978697 256736
0 2756 64 0 1788978697 257061
0 2769 65 0 1788978697 257909
0 2773 64 0 1788978697 258169
0 2776 92 0 1788978697 258420
0 2795 69 0 1788978697 261053
0 2803 76 0 1788978697 261624
0 2816 69 0 1788978697 262721
0 2819 68 0 1788978697 262931
0 2831 78 0 1788978697 265680
0 2865 66 0 1788978697 269247
0 2906 65 0 1788978697 272023
0 2961 64 0 1788978697 275938
0 2968 64 0 1788978697 276391
0 2978 63 0 1788978697 277042
0 2979 65 0 1788978697 277109
0 3050 64 0 1788978697 282230
0 3051 67 0 1788978697 282300
0 3060 63 0 1788978697 282912
0 3111 68 0 1788978697 286497
0 3113 69 0 1788978697 286638
0 3118 64 0 1788978697 286965
0 3122 63 0 1788978697 287226
0 3123 64 0 1788978697 287293
0 3124 62 0 1788978697 287358
