MemTotal:       63903732 kB
MemFree:         3409940 kB
MemAvailable:   40081040 kB
Buffers:          525036 kB
Cached:         36931924 kB
SwapCached:      6169780 kB
Active:         28840196 kB
Inactive:       27443768 kB
Active(anon):   12892852 kB
Inactive(anon):  8165368 kB
Active(file):   15947344 kB
Inactive(file): 19278400 kB
Unevictable:      443384 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20223400 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               500 kB
Writeback:            16 kB
AnonPages:      19205824 kB
Mapped:          2444692 kB
Shmem:           2232072 kB
KReclaimable:    2165052 kB
Slab:            2990584 kB
SReclaimable:    2165052 kB
SUnreclaim:       825532 kB
KernelStack:       66608 kB
PageTables:       292676 kB
SecPageTables:     10524 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96757432 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171996 kB
VmallocChunk:          0 kB
Percpu:            22752 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   415744 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9574400 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
