MemTotal:       63903732 kB
MemFree:         2852580 kB
MemAvailable:   40037904 kB
Buffers:          539496 kB
Cached:         37435164 kB
SwapCached:      6170096 kB
Active:         28938364 kB
Inactive:       27935936 kB
Active(anon):   12987900 kB
Inactive(anon):  8163140 kB
Active(file):   15950464 kB
Inactive(file): 19772796 kB
Unevictable:      454848 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20223484 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2220 kB
Writeback:            28 kB
AnonPages:      19290028 kB
Mapped:          2453040 kB
Shmem:           2252216 kB
KReclaimable:    2181760 kB
Slab:            3008268 kB
SReclaimable:    2181760 kB
SUnreclaim:       826508 kB
KernelStack:       66764 kB
PageTables:       293328 kB
SecPageTables:     10520 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96963540 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172196 kB
VmallocChunk:          0 kB
Percpu:            23040 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   432128 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9596928 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
