MemTotal:       63903732 kB
MemFree:         3185340 kB
MemAvailable:   40533756 kB
Buffers:          569492 kB
Cached:         37597752 kB
SwapCached:      6344800 kB
Active:         29744268 kB
Inactive:       26792592 kB
Active(anon):   13429760 kB
Inactive(anon):  7225844 kB
Active(file):   16314508 kB
Inactive(file): 19566748 kB
Unevictable:      471652 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20266588 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2800 kB
Writeback:             0 kB
AnonPages:      18765404 kB
Mapped:          2498708 kB
Shmem:           2286832 kB
KReclaimable:    2186856 kB
Slab:            3018492 kB
SReclaimable:    2186856 kB
SUnreclaim:       831636 kB
KernelStack:       66320 kB
PageTables:       283624 kB
SecPageTables:     10496 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94591976 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171508 kB
VmallocChunk:          0 kB
Percpu:            24832 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   448512 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9615360 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
