MemTotal:       63903732 kB
MemFree:         3524040 kB
MemAvailable:   40911804 kB
Buffers:          572172 kB
Cached:         37627184 kB
SwapCached:      6347060 kB
Active:         29328648 kB
Inactive:       26813200 kB
Active(anon):   13013572 kB
Inactive(anon):  7208036 kB
Active(file):   16315076 kB
Inactive(file): 19605164 kB
Unevictable:      514560 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20270440 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3756 kB
Writeback:             0 kB
AnonPages:      18379540 kB
Mapped:          2492140 kB
Shmem:           2279968 kB
KReclaimable:    2187220 kB
Slab:            3018920 kB
SReclaimable:    2187220 kB
SUnreclaim:       831700 kB
KernelStack:       66532 kB
PageTables:       284804 kB
SecPageTables:     10520 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   95047056 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171684 kB
VmallocChunk:          0 kB
Percpu:            24928 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   479232 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9615360 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
