pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 276345
number of failed transactions: 0 (0.000%)
latency average = 0.036 ms
initial connection time = 6.478 ms
tps = 27652.161436 (without initial connection time)
===LOGS===
0 38 35 0 1788978082 856451
0 46 40 0 1788978082 856761
0 51 24 0 1788978082 856889
0 79 35 0 1788978082 857804
0 84 34 0 1788978082 857971
0 93 65 0 1788978082 858283
0 137 66 0 1788978082 860152
0 160 41 0 1788978082 861381
0 164 45 0 1788978082 861559
0 171 48 0 1788978082 861919
0 216 34 0 1788978082 863564
0 231 45 0 1788978082 864154
0 234 35 0 1788978082 864262
0 243 36 0 1788978082 864575
0 252 44 0 1788978082 864917
0 275 55 0 1788978082 865901
0 281 40 0 1788978082 866150
0 290 41 0 1788978082 866515
0 331 53 0 1788978082 868703
0 343 56 0 1788978082 869350
0 345 45 0 1788978082 869444
0 377 37 0 1788978082 871152
0 386 34 0 1788978082 871509
0 394 35 0 1788978082 871832
0 405 35 0 1788978082 872280
0 407 36 0 1788978082 872353
0 432 33 0 1788978082 873264
0 473 31 0 1788978082 874683
0 486 29 0 1788978082 875105
0 487 30 0 1788978082 875137
0 504 46 0 1788978082 875647
0 505 30 0 1788978082 875678
0 530 25 0 1788978082 876296
0 532 25 0 1788978082 876351
0 534 26 0 1788978082 876406
0 555 25 0 1788978082 876939
0 577 25 0 1788978082 877528
0 615 26 0 1788978082 878491
0 632 26 0 1788978082 878945
0 634 26 0 1788978082 878997
0 636 25 0 1788978082 879048
0 658 40 0 1788978082 879643
0 677 24 0 1788978082 880122
0 685 25 0 1788978082 880321
0 707 26 0 1788978082 880921
0 715 26 0 1788978082 881131
0 727 25 0 1788978082 881480
0 805 25 0 1788978082 883496
0 812 26 0 1788978082 883685
0 827 26 0 1788978082 884087
0 854 28 0 1788978082 884784
0 864 26 0 1788978082 885081
0 866 27 0 1788978082 885136
0 880 30 0 1788978082 885489
0 910 25 0 1788978082 886291
0 913 26 0 1788978082 886370
0 918 58 0 1788978082 886532
0 921 32 0 1788978082 886623
0 949 27 0 1788978082 887538
0 999 31 0 1788978082 889535
0 1038 31 0 1788978082 890838
0 1065 46 0 1788978082 891653
0 1074 39 0 1788978082 891936
0 1114 29 0 1788978082 893087
0 1123 33 0 1788978082 893402
0 1179 27 0 1788978082 894980
0 1196 26 0 1788978082 895443
0 1205 27 0 1788978082 895706
0 1209 26 0 1788978082 895812
0 1230 26 0 1788978082 896366
0 1299 54 0 1788978082 898297
0 1302 25 0 1788978082 898380
0 1318 26 0 1788978082 898810
0 1324 26 0 1788978082 898973
0 1333 27 0 1788978082 899215
0 1338 28 0 1788978082 899347
0 1362 26 0 1788978082 900004
0 1435 33 0 1788978082 901895
0 1437 32 0 1788978082 901963
0 1440 33 0 1788978082 902063
0 1449 32 0 1788978082 902362
0 1455 32 0 1788978082 902557
0 1473 29 0 1788978082 903148
0 1492 25 0 1788978082 903675
0 1509 24 0 1788978082 904112
0 1542 50 0 1788978082 905342
0 1563 45 0 1788978082 906338
0 1608 31 0 1788978082 907865
0 1624 32 0 1788978082 908380
0 1643 32 0 1788978082 909012
0 1655 31 0 1788978082 909404
0 1665 35 0 1788978082 909744
0 1677 32 0 1788978082 910143
0 1691 36 0 1788978082 910604
0 1709 34 0 1788978082 911244
0 1715 35 0 1788978082 911454
0 1736 34 0 1788978082 912186
0 1737 35 0 1788978082 912222
0 1802 32 0 1788978082 914390
0 1818 31 0 1788978082 914904
0 1871 32 0 1788978082 916728
0 1883 32 0 1788978082 917117
0 1885 31 0 1788978082 917182
0 1886 32 0 1788978082 917216
0 1902 31 0 1788978082 917740
0 1921 32 0 1788978082 918340
0 1923 32 0 1788978082 918406
0 1944 30 0 1788978082 919079
0 1993 47 0 1788978082 920694
0 2008 24 0 1788978082 921122
0 2023 36 0 1788978082 921554
0 2035 61 0 1788978082 922063
0 2086 30 0 1788978082 924284
0 2263 30 0 1788978082 932305
0 2292 30 0 1788978082 933210
0 2297 30 0 1788978082 933363
0 2321 27 0 1788978082 934140
0 2400 53 0 1788978082 937253
0 2428 55 0 1788978082 938629
0 2440 33 0 1788978082 939091
0 2458 39 0 1788978082 939808
0 2463 39 0 1788978082 940020
0 2470 36 0 1788978082 940308
0 2475 36 0 1788978082 940490
0 2488 37 0 1788978082 940970
0 2494 31 0 1788978082 941182
0 2505 29 0 1788978082 941506
0 2509 54 0 1788978082 941648
0 2510 31 0 1788978082 941680
0 2522 29 0 1788978082 942016
0 2571 32 0 1788978082 943507
0 2603 30 0 1788978082 944590
0 2617 30 0 1788978082 945039
0 2635 29 0 1788978082 945577
0 2643 28 0 1788978082 945827
0 2654 28 0 1788978082 946138
0 2658 28 0 1788978082 946253
0 2669 54 0 1788978082 946659
0 2681 37 0 1788978082 947137
0 2683 42 0 1788978082 947268
0 2704 34 0 1788978082 948037
0 2719 29 0 1788978082 948563
0 2725 28 0 1788978082 948741
0 2744 27 0 1788978082 949286
0 2780 34 0 1788978082 950931
0 2798 29 0 1788978082 951590
0 2826 31 0 1788978082 952429
0 2835 32 0 1788978082 952729
0 2865 43 0 1788978082 953884
0 2867 44 0 1788978082 953978
0 2870 45 0 1788978082 954145
0 2913 83 0 1788978082 955847
0 2937 44 0 1788978082 956879
0 2951 39 0 1788978082 957461
0 2975 37 0 1788978082 958303
0 2990 33 0 1788978082 958843
0 2999 48 0 1788978082 959231
0 3012 36 0 1788978082 959808
0 3015 35 0 1788978082 959914
0 3016 33 0 1788978082 959948
0 3017 35 0 1788978082 959984
0 3019 47 0 1788978082 960089
0 3035 36 0 1788978082 960748
0 3045 41 0 1788978082 961362
0 3047 40 0 1788978082 961446
0 3082 45 0 1788978082 963462
0 3084 43 0 1788978082 963550
0 3119 39 0 1788978082 964982
0 3161 32 0 1788978082 966706
0 3188 26 0 1788978082 967527
0 3205 26 0 1788978082 967983
0 3229 26 0 1788978082 968607
0 3240 23 0 1788978082 968876
0 3267 23 0 1788978082 969510
0 3274 30 0 1788978082 969697
0 3300 26 0 1788978082 970390
0 3305 26 0 1788978082 970532
0 3339 28 0 1788978082 971927
0 3342 31 0 1788978082 972027
0 3356 33 0 1788978082 972477
0 3398 28 0 1788978082 973689
0 3404 28 0 1788978082 973851
0 3406 25 0 1788978082 973901
0 3429 25 0 1788978082 974477
0 3433 24 0 1788978082 974576
0 3468 25 0 1788978082 975478
0 3483 25 0 1788978082 975886
0 3499 26 0 1788978082 976295
0 3501 25 0 1788978082 976346
0 3502 25 0 1788978082 976372
0 3505 25 0 1788978082 976449
0 3521 25 0 1788978082 976869
0 3542 25 0 1788978082 977413
0 3544 25 0 1788978082 977464
0 3553 26 0 1788978082 977705
0 3609 24 0 1788978082 979082
0 3610 24 0 1788978082 979107
0 3660 25 0 1788978082 980370
0 3730 25 0 1788978082 982124
0 3785 29 0 1788978082 983615
0 3804 24 0 1788978082 984101
0 3805 25 0 1788978082 984126
0 3877 24 0 1788978082 985968
0 3884 25 0 1788978082 986144
0 3908 25 0 1788978082 986758
0 3919 43 0 1788978082 987125
0 3957 39 0 1788978082 988583
0 3973 56 0 1788978082 989238
0 3980 31 0 1788978082 989517
0 4000 27 0 1788978082 990116
0 4013 31 0 1788978082 990478
0 4031 30 0 1788978082 990980
0 4034 27 0 1788978082 991063
0 4075 27 0 1788978082 992136
0 4097 25 0 1788978082 992693
0 4138 27 0 1788978082 993747
0 4145 29 0 1788978082 993955
0 4198 40 0 1788978082 995484
0 4210 35 0 1788978082 995953
0 4217 35 0 1788978082 996239
0 4222 35 0 1788978082 996420
0 4282 42 0 1788978083 503
0 4334 62 0 1788978083 2837
0 4337 52 0 1788978083 2990
0 4352 41 0 1788978083 3558
0 4375 32 0 1788978083 4542
