MemTotal:       63903732 kB
MemFree:         3692040 kB
MemAvailable:   41504220 kB
Buffers:          899620 kB
Cached:         37578692 kB
SwapCached:      6284632 kB
Active:         28997732 kB
Inactive:       27085468 kB
Active(anon):   12665080 kB
Inactive(anon):  7087356 kB
Active(file):   16332652 kB
Inactive(file): 19998112 kB
Unevictable:      405876 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20373076 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1620 kB
Writeback:             0 kB
AnonPages:      17932352 kB
Mapped:          2469228 kB
Shmem:           2148392 kB
KReclaimable:    2201112 kB
Slab:            3035400 kB
SReclaimable:    2201112 kB
SUnreclaim:       834288 kB
KernelStack:       66036 kB
PageTables:       281692 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   93655804 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171420 kB
VmallocChunk:          0 kB
Percpu:            25312 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   380928 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9639936 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
