MemTotal:       63903732 kB
MemFree:         3222836 kB
MemAvailable:   41145212 kB
Buffers:          904448 kB
Cached:         37681512 kB
SwapCached:      6274508 kB
Active:         29344044 kB
Inactive:       27164692 kB
Active(anon):   12995724 kB
Inactive(anon):  7074660 kB
Active(file):   16348320 kB
Inactive(file): 20090032 kB
Unevictable:      405632 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20383684 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3956 kB
Writeback:             0 kB
AnonPages:      18249992 kB
Mapped:          2470936 kB
Shmem:           2148448 kB
KReclaimable:    2203720 kB
Slab:            3038988 kB
SReclaimable:    2203720 kB
SUnreclaim:       835268 kB
KernelStack:       65872 kB
PageTables:       282264 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   93598976 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171404 kB
VmallocChunk:          0 kB
Percpu:            25664 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   380928 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9736192 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
